source,raw_input_label,cleaned_input_label,match_score,matched_asctb_id,matched_asctb_label,exact_match_found_in_asctb
CellTypist,ec aerocyte capillary,ec aerocyte capillary,0.6010616421699524,CL:4028003,CAP2 aerocyte capillary gCap,False
CellTypist,ec arterial,ec arterial,0.5133800506591797,CL:1000413,arterial endothelial cell,False
CellTypist,ec general capillary,ec general capillary,0.4777963161468506,CL:4028002,CAP1 general capillary aCap,False
CellTypist,ec venous pulmonary,ec venous pulmonary,0.7152866125106812,CL:0002543,pulmonary venous endothelial cell,False
CellTypist,ec venous systemic,ec venous systemic,0.6223162412643433,CL:0002543,venous endothelial cell,False
CellTypist,fibromyocytes,fibromyocytes,0.5455357432365417,CL:0000094,neutrophil,False
CellTypist,goblet (bronchial),goblet bronchial,0.7950381636619568,CL:1000143,bronchial goblet cell,False
CellTypist,goblet (nasal),goblet nasal,0.6020657420158386,CL:1000143,bronchial goblet cell,False
CellTypist,goblet (subsegmental),goblet subsegmental,0.3814364969730377,CL:1000143,bronchial goblet cell,False
CellTypist,interstitial mï† perivascular,interstitial m perivascular,0.4262758791446686,ASCTB CT_ID UNK,perichondrial fibroblasts,False
CellTypist,ionocyte,ionocyte,0.5611793994903564,CL:0017000,pulmonary ionocyte,False
CellTypist,lymphatic ec differentiating,lymphatic ec differentiating,0.4713963568210602,CL:0009086,lymphatic endothelial cell,False
CellTypist,lymphatic ec mature,lymphatic ec mature,0.4939851760864258,CL:0009086,lymphatic endothelial cell,False
CellTypist,lymphatic ec proliferating,lymphatic ec proliferating,0.5417037010192871,CL:0009086,lymphatic endothelial cell,False
CellTypist,mast cells,mast cell,0.667164146900177,CL:0000484,connective tissue mast cell,False
CellTypist,mesothelium,mesothelium,0.525190532207489,CL:1000493,mesothelial cell,False
CellTypist,migratory dcs,migratory dc,0.4276086986064911,ASCTB CT_ID UNK,migratory dendritic cell,False
CellTypist,monocyte-derived mï†,monocytederived m,0.40612849593162537,CL:0000875,non-classical monocyte,False
CellTypist,multiciliated (nasal),multiciliated nasal,0.41497603058815,LMHA:00238,submucosal gland mucous cells,False
CellTypist,multiciliated (non-nasal),multiciliated nonnasal,0.2541038691997528,ASCTB CT_ID UNK,suprabasal cell,False
CellTypist,myofibroblasts,myofibroblasts,0.6052818298339844,CL:0000186,secondary crest myofibroblasts,False
CellTypist,neuroendocrine,neuroendocrine,0.5562646389007568,CL:1000223,neuroendocrine cell,False
CellTypist,nk cells,nk cell,0.6410555839538574,CL:0000814,NK T cell,False
CellTypist,non-classical monocytes,nonclassical monocyte,0.6592209935188293,CL:0000875,non-classical monocyte,False
CellTypist,peribronchial fibroblasts,peribronchial fibroblast,0.8265331983566284,ASCTB CT_ID UNK,perichondrial fibroblasts,False
CellTypist,pericytes,pericytes,0.6250534057617188,CL:0009089,lung pericyte,False
CellTypist,plasma cells,plasma cell,0.6041157841682434,ASCTB CT_ID UNK,suprabasal cell,False
CellTypist,plasmacytoid dcs,plasmacytoid dc,0.5519440770149231,CL:0002399,cDC2 myeloid dendritic cell,False
CellTypist,sm activated stress response,sm activated stress response,0.2744065821170807,CL:0000815,regulatory T cell,False
CellTypist,smg duct,smg duct,0.34660834074020386,LMHA:00142,submucosal gland ciliated duct cells,False
CellTypist,smg mucous,smg mucous,0.5613130927085876,LMHA:00238,submucosal gland mucous cells,False
CellTypist,smg serous (bronchial),smg serous bronchial,0.5658625960350037,CL:1000143,bronchial goblet cell,False
CellTypist,smg serous (nasal),smg serous nasal,0.36462387442588806,CL:1000143,bronchial goblet cell,False
CellTypist,smooth muscle,smooth muscle,0.5514345765113831,CL:0019018,vascular smooth muscle cell,False
CellTypist,subpleural fibroblasts,subpleural fibroblast,0.650734543800354,ASCTB CT_ID UNK,perichondrial fibroblasts,False
CellTypist,suprabasal,suprabasal,0.610107958316803,ASCTB CT_ID UNK,suprabasal cell,False
CellTypist,t cells proliferating,t cell proliferating,0.5324549674987793,CL:0000815,regulatory T cell,False
CellTypist,transitional club-at2,transitional clubat2,0.1565302461385727,CL:0000158,club cell,False
CellTypist,tuft,tuft,0.5056148767471313,CL:0002207,tuft cell,False
Azimuth,adventitial fibroblasts,adventitial fibroblast,0.625990092754364,ASCTB CT_ID UNK,perichondrial fibroblasts,False
Azimuth,alveolar fibroblasts,alveolar fibroblast,0.7503905892372131,CL:4028004,alveolar type 1 fibroblast,False
Azimuth,alveolar macrophages,alveolar macrophage,0.9366430044174194,ASCTB CT_ID UNK,alveolar macrophage proliferating,False
Azimuth,alveolar mï† proliferating,alveolar m proliferating,0.7384202480316162,ASCTB CT_ID UNK,alveolar macrophage proliferating,False
Azimuth,at1,at1,0.2462996542453766,CL:0002062,AT1,True
Azimuth,at2,at2,0.23461095988750458,CL:0002062,AT1,False
Azimuth,at2 proliferating,at2 proliferating,0.40604346990585327,CL:0002063,AT2,False
Azimuth,b cells,b cell,0.7005406022071838,CL:0000236,B cell,True
Azimuth,basal resting,basal resting,0.4230489134788513,CL:1000348,basal cell,False
Azimuth,cd4 t cells,cd4 t cell,0.7150702476501465,CL:0000905,CD4+ T cell effector memory,False
Azimuth,cd8 t cells,cd8 t cell,0.7356367111206055,CL:0000913,CD8+ T cell effector memory,False
Azimuth,classical monocytes,classical monocyte,0.5843422412872314,CL:0000860,classical monocyte,True
Azimuth,club (nasal),club nasal,0.36602896451950073,CL:0019002,chondrocyte,False
Azimuth,club (non-nasal),club nonnasal,0.19410081207752228,CL:0000158,club cell,False
Azimuth,dc2,dc2,0.2916159927845001,CL:0002399,cDC2 myeloid dendritic cell,False
Azimuth,deuterosomal,deuterosomal,0.6854729056358337,ASCTB CT_ID UNK,airway deuterosomal cell,False
Azimuth,ec aerocyte capillary,ec aerocyte capillary,0.6010616421699524,CL:4028003,CAP2 aerocyte capillary gCap,False
Azimuth,ec arterial,ec arterial,0.5133800506591797,CL:1000413,arterial endothelial cell,False
Azimuth,ec general capillary,ec general capillary,0.4777963161468506,CL:4028002,CAP1 general capillary aCap,False
Azimuth,ec venous pulmonary,ec venous pulmonary,0.7152866125106812,CL:0002543,pulmonary venous endothelial cell,False
Azimuth,ec venous systemic,ec venous systemic,0.6223162412643433,CL:0002543,venous endothelial cell,False
Azimuth,goblet (nasal),goblet nasal,0.6020657420158386,CL:1000143,bronchial goblet cell,False
Azimuth,interstitial mï† perivascular,interstitial m perivascular,0.4262758791446686,ASCTB CT_ID UNK,perichondrial fibroblasts,False
Azimuth,ionocyte,ionocyte,0.5611793994903564,CL:0017000,pulmonary ionocyte,False
Azimuth,lymphatic ec differentiating,lymphatic ec differentiating,0.4713963568210602,CL:0009086,lymphatic endothelial cell,False
Azimuth,lymphatic ec mature,lymphatic ec mature,0.4939851760864258,CL:0009086,lymphatic endothelial cell,False
Azimuth,mast cells,mast cell,0.667164146900177,CL:0000484,connective tissue mast cell,False
Azimuth,monocyte-derived mï†,monocytederived m,0.40612849593162537,CL:0000875,non-classical monocyte,False
Azimuth,multiciliated (nasal),multiciliated nasal,0.41497603058815,LMHA:00238,submucosal gland mucous cells,False
Azimuth,multiciliated (non-nasal),multiciliated nonnasal,0.2541038691997528,ASCTB CT_ID UNK,suprabasal cell,False
Azimuth,myofibroblasts,myofibroblasts,0.6052818298339844,CL:0000186,secondary crest myofibroblasts,False
Azimuth,nk cells,nk cell,0.6410555839538574,CL:0000814,NK T cell,False
Azimuth,non-classical monocytes,nonclassical monocyte,0.6592209935188293,CL:0000875,non-classical monocyte,False
Azimuth,peribronchial fibroblasts,peribronchial fibroblast,0.8265331983566284,ASCTB CT_ID UNK,perichondrial fibroblasts,False
Azimuth,pericytes,pericytes,0.6250534057617188,CL:0009089,lung pericyte,False
Azimuth,plasma cells,plasma cell,0.6041157841682434,ASCTB CT_ID UNK,suprabasal cell,False
Azimuth,plasmacytoid dcs,plasmacytoid dc,0.5519440770149231,CL:0002399,cDC2 myeloid dendritic cell,False
Azimuth,sm activated stress response,sm activated stress response,0.2744065821170807,CL:0000815,regulatory T cell,False
Azimuth,smg mucous,smg mucous,0.5613130927085876,LMHA:00238,submucosal gland mucous cells,False
Azimuth,smooth muscle,smooth muscle,0.5514345765113831,CL:0019018,vascular smooth muscle cell,False
Azimuth,suprabasal,suprabasal,0.610107958316803,ASCTB CT_ID UNK,suprabasal cell,False
Azimuth,t cells proliferating,t cell proliferating,0.5324549674987793,CL:0000815,regulatory T cell,False
Azimuth,transitional club-at2,transitional clubat2,0.1565302461385727,CL:0000158,club cell,False
Azimuth,tuft,tuft,0.5056148767471313,CL:0002207,tuft cell,False
PopV,adventitial cell,adventitial cell,0.7001540064811707,ASCTB CT_ID UNK,suprabasal cell,False
PopV,alveolar fibroblast,alveolar fibroblast,0.7503905892372131,CL:4028004,alveolar type 1 fibroblast,False
PopV,b cell,b cell,0.7005406022071838,CL:0000236,B cell,True
PopV,basal cell,basal cell,0.6811748743057251,CL:1000348,basal cell,True
PopV,basophil,basophil,0.3530886769294739,CL:0000094,neutrophil,False
PopV,bronchial smooth muscle cell,bronchial smooth muscle cell,0.9999998807907104,CL:0002598,bronchial smooth muscle cell,True
PopV,bronchial vessel endothelial cell,bronchial vessel endothelial cell,0.8536921739578247,CL:1001568,pulmonary artery endothelial cell,False
PopV,capillary aerocyte,capillary aerocyte,0.6640943288803101,CL:4028003,CAP2 aerocyte capillary gCap,False
PopV,capillary endothelial cell,capillary endothelial cell,0.7084331512451172,CL:1000413,arterial endothelial cell,False
PopV,cd4-positive alpha-beta t cell,cd4positive alphabeta t cell,0.8020555377006531,CL:0000905,CD4+ T cell effector memory,False
PopV,"cd4-positive, alpha-beta t cell",cd4positive alphabeta t cell,0.8020555377006531,CL:0000905,CD4+ T cell effector memory,False
PopV,cd8-positive alpha-beta t cell,cd8positive alphabeta t cell,0.8450602293014526,CL:0000900,CD8+ T cell naive,False
PopV,"cd8-positive, alpha-beta t cell",cd8positive alphabeta t cell,0.8450602293014526,CL:0000900,CD8+ T cell naive,False
PopV,classical monocyte,classical monocyte,0.5843422412872314,CL:0000860,classical monocyte,True
PopV,club cell,club cell,0.4098435640335083,ASCTB CT_ID UNK,suprabasal cell,False
PopV,dendritic cell,dendritic cell,0.7564128041267395,ASCTB CT_ID UNK,migratory dendritic cell,False
PopV,endothelial cell of artery,endothelial cell of artery,0.8548914194107056,CL:1000413,arterial endothelial cell,False
PopV,endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,0.7853553295135498,CL:0009086,lymphatic endothelial cell,False
PopV,fibroblast,fibroblast,0.6509153842926025,ASCTB CT_ID UNK,perichondrial fibroblasts,False
PopV,intermediate monocyte,intermediate monocyte,0.573226809501648,CL:0000860,classical monocyte,False
PopV,lung ciliated cell,lung ciliated cell,1.0,CL:1000271,lung ciliated cell,True
PopV,lung microvascular endothelial cell,lung microvascular endothelial cell,0.8654752969741821,CL:1001568,pulmonary artery endothelial cell,False
PopV,macrophage,macrophage,0.8324536681175232,LMHA:00213,Interstitial macrophage,False
PopV,mesothelial cell,mesothelial cell,0.7446922659873962,CL:1000493,mesothelial cell,True
PopV,myofibroblast cell,myofibroblast cell,0.6881502270698547,CL:0000186,secondary crest myofibroblasts,False
PopV,neutrophil,neutrophil,0.7455151081085205,CL:0000094,neutrophil,True
PopV,nk cell,nk cell,0.6410555839538574,CL:0000814,NK T cell,False
PopV,non-classical monocyte,nonclassical monocyte,0.6592209935188293,CL:0000875,non-classical monocyte,False
PopV,pericyte cell,pericyte cell,0.7938810586929321,CL:0009089,lung pericyte,False
PopV,plasma cell,plasma cell,0.6041157841682434,ASCTB CT_ID UNK,suprabasal cell,False
PopV,plasmacytoid dendritic cell,plasmacytoid dendritic cell,0.7891559600830078,CL:0000784,plasmacytoid dendritic cell,True
PopV,pulmonary ionocyte,pulmonary ionocyte,0.762731671333313,CL:0017000,pulmonary ionocyte,True
PopV,respiratory goblet cell,respiratory goblet cell,0.8258867859840393,CL:1000143,bronchial goblet cell,False
PopV,respiratory mucous cell,respiratory mucous cell,0.8100886940956116,ASCTB CT_ID UNK,respiratory airway secretory cell,False
PopV,serous cell of epithelium of bronchus,serous cell of epithelium of bronchus,0.7776184678077698,CL:1000350,basal cell,False
PopV,smooth muscle cell,smooth muscle cell,0.7709948420524597,CL:0002598,bronchial smooth muscle cell,False
PopV,type i pneumocyte,type i pneumocyte,0.6277726292610168,CL:0002062,AT1,False
PopV,type ii pneumocyte,type ii pneumocyte,0.5974161624908447,CL:0002062,AT1,False
PopV,vascular associated smooth muscle cell,vascular associated smooth muscle cell,0.8667296767234802,CL:0019018,vascular smooth muscle,False
PopV,vein endothelial cell,vein endothelial cell,0.8517533540725708,CL:0002543,venous endothelial cell,False
